recordtype,id,type,dc.identifier,dc.language,dc.source,isVersionOf,hasVersion,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
CATALOG,omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-chemische_stof,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATASET,omg_dataset:codelijst-chemische_stof,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-chemische_stof,nl,NA,NA,NA,Dataset codelijst chemische_stof,"Deze dataset bevat een lijst van chemische_stoftypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-chemische_stof,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst chemische_stof,omg_conceptscheme:chemische_stof,Codelijst chemische_stof,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-chemische_stof.html,frequency:IRREG,omg_periodoftime:dataset_omg,NA,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DATASET,omg_dataset:codelijst-chemische_stof,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-chemische_stof,nl,NA,omg_dataset:codelijst-chemische_stof,NA,Dataset codelijst chemische_stof,"Deze dataset bevat een lijst van chemische_stoftypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-chemische_stof,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst chemische_stof,omg_conceptscheme:chemische_stof,Codelijst chemische_stof,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-chemische_stof.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-chemische_stof.chemische_stof.rdf|omg_distribution:codelijst-chemische_stof.chemische_stof.csv|omg_distribution:codelijst-chemische_stof.chemische_stof.jsonld|omg_distribution:codelijst-chemische_stof.chemische_stof.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-chemische_stof.chemische_stof.csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.csv,NA,NA,NA,NA,NA,"Codelijst chemische_stof, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-chemische_stof.chemische_stof.csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst chemische_stof in text/csv formaat.,NA,"Codelijst chemische_stof, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof.chemische_stof.csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-chemische_stof.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-chemische_stof.chemische_stof.jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.jsonld,NA,NA,NA,NA,NA,"Codelijst chemische_stof, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-chemische_stof.chemische_stof.jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst chemische_stof in jsonld rdf-formaat.,NA,"Codelijst chemische_stof, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof.chemische_stof.jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-chemische_stof.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-chemische_stof.chemische_stof.ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.ttl,NA,NA,NA,NA,NA,"Codelijst chemische_stof, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-chemische_stof.chemische_stof.ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst chemische_stof in Turtle rdf-formaat.,NA,"Codelijst chemische_stof, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof.chemische_stof.ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-chemische_stof.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-chemische_stof.chemische_stof.rdf,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.rdf,NA,NA,NA,NA,NA,"Codelijst chemische_stof, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-chemische_stof.chemische_stof.rdf,2023-07-25,NA,NA,NA,ovo:OVO003751,NA,Codelijst chemische_stof in xml rdf-formaat.,NA,"Codelijst chemische_stof, in xml rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof.chemische_stof.rdf.html,NA,NA,NA,NA,file_type:RDF_XML,https://github.com/milieuinfo/codelijst-chemische_stof.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof.chemische_stof.rdf,https://www.iana.org/assignments/media-types/application/rdf+xml,NA,NA,NA,NA
VERSIE-PACKAGE,omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof,spdx:Package|dcat:Distribution,be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof,NA,NA,NA,NA,NA,"Codelijst chemische_stof, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst chemische_stof in jar-formaat.,NA,Package codelijst-chemische_stof,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
