uri,vmmParameterId
concept:WHPVYXDFIXRKLN-UHFFFAOYSA-N,933|1196
concept:IOVCWXUNBOPUCH-UHFFFAOYSA-M,9|10
concept:ZLMJMSJWJFRBEC-UHFFFAOYSA-N,744|988|1258|1943
concept:NPYPAHLBTDXSSS-UHFFFAOYSA-N,744|988|1258|1943
concept:FKNQFGJONOIPTF-UHFFFAOYSA-N,743|987|1260|1950
concept:JLVVSXFLKOJNIY-UHFFFAOYSA-N,742|986|1259
concept:OYPRJOBELJOOCE-UHFFFAOYSA-N,741|985|1257|1925|2114
concept:WFKWXMTUELFFGS-UHFFFAOYSA-N,680|1980
concept:NHNBFGGVMKEFGY-UHFFFAOYSA-N,6|8
concept:CPELXLSAUQHCOX-UHFFFAOYSA-M,542|1802
concept:JFALSRSLKYAFGM-UHFFFAOYSA-N,523|524|525|1978
concept:HXGDTGSAIMULJN-UHFFFAOYSA-N,511|1420
concept:KRHYYFGTRYWZRS-UHFFFAOYSA-M,5|1328
concept:ZHLICBPIXDOFFG-UHFFFAOYSA-N,445|758
concept:BZTYNSQSZHARAZ-UHFFFAOYSA-N,444|1417
concept:IUTPYMGCWINGEY-UHFFFAOYSA-N,442|1413
concept:HCWZEPKLWVAEOV-UHFFFAOYSA-N,441|1418
concept:LAHWLEDBADHJGA-UHFFFAOYSA-N,440|1412
concept:MVWHGTYKUMDIHL-UHFFFAOYSA-N,438|1415
concept:WBHQEUPUMONIKF-UHFFFAOYSA-N,437|1416
concept:RPUMZMSNLZHIGZ-UHFFFAOYSA-N,436|1414
concept:BBEAQIROQSPTKN-UHFFFAOYSA-N,434|1434
concept:UFWIBTONFRDIAS-UHFFFAOYSA-N,432|1433
concept:SXQBHARYMNFBPS-UHFFFAOYSA-N,431|1432
concept:NIHNNTQXNPWCJQ-UHFFFAOYSA-N,430|1431
concept:GVEPBJHOBDJJJI-UHFFFAOYSA-N,429|1430
concept:YNPNZTXNASCQKK-UHFFFAOYSA-N,428|1429
concept:LHRCREOYAASXPZ-UHFFFAOYSA-N,426|1428
concept:WDECIBYCCFPHNR-UHFFFAOYSA-N,425|1427
concept:HAXBIWFMXWRORI-UHFFFAOYSA-N,424|1426
concept:GYFAGKUZYNFMBN-UHFFFAOYSA-N,423|1425
