"id","type","dc.identifier","dc.language","dc.source","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"omg_catalog:codelijst","dcat:Catalog","","","","","","","","","","","","","","","","","","","omg_dataset:codelijst-chemische_stof","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-chemische_stof","dcat:Dataset","","","","omg_dataset:codelijst-chemische_stof.1.1.3","","","","","","","","","","","","Thesaurus chemische stoffen","","","","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-chemische_stof.1.1.3","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-chemische_stof.1.1.3","nl","","","Codelijst chemische_stof Dataset","Deze dataset bevat een lijst van chemische stoffen, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-chemische_stof.1.1.3","2023-06-26","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Thesaurus chemische stoffen","omg_conceptscheme:chemische_stof","Dataset Codelijst chemische_stof","1.1.3","omg_vcard:helpdesk","","access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html","","https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-chemische_stof.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-chemische_stof_csv.1.1.3|omg_distribution:codelijst-chemische_stof_jsonld.1.1.3|omg_distribution:codelijst-chemische_stof_ttl.1.1.3|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof.1.1.3","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087","","","","","","","","",""
"omg_distribution:codelijst-chemische_stof_csv.1.1.3","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof_csv.1.1.3","","","","","Codelijst chemische_stof, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-chemische_stof_csv.1.1.3","2023-06-26","","","","ovo:OVO003751","","Codelijst chemische_stof in text/csv formaat.","","Codelijst chemische_stof, in text/csv formaat.","1.1.3","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof_csv.html","","","","","file_type:CSV","https://github.com/milieuinfo/codelijst-chemische_stof.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-chemische_stof/codelijst-chemische_stof-1.1.3/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/chemische_stof/chemische_stof.csv","https://www.iana.org/assignments/media-types/text/csv","","","",""
"omg_distribution:codelijst-chemische_stof_jsonld.1.1.3","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof_jsonld.1.1.3","","","","","Codelijst chemische_stof, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-chemische_stof_jsonld.1.1.3","2023-06-26","","","","ovo:OVO003751","","Codelijst chemische_stof in jsonld rdf-formaat.","","Codelijst chemische_stof, in jsonld rdf-formaat.","1.1.3","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof_jsonld.html","","","","","file_type:JSON_LD","https://github.com/milieuinfo/codelijst-chemische_stof.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-chemische_stof/codelijst-chemische_stof-1.1.3/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/chemische_stof/chemische_stof.jsonld","https://www.iana.org/assignments/media-types/application/ld+json","","","",""
"omg_distribution:codelijst-chemische_stof_ttl.1.1.3","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-chemische_stof_ttl.1.1.3","","","","","Codelijst chemische_stof, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-chemische_stof_ttl.1.1.3","2023-06-26","","","","ovo:OVO003751","","Codelijst chemische_stof in Turtle rdf-formaat.","","Codelijst chemische_stof, in Turtle rdf-formaat.","1.1.3","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-chemische_stof_ttl.html","","","","","file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-chemische_stof.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-chemische_stof/codelijst-chemische_stof-1.1.3/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/chemische_stof/chemische_stof.ttl","https://www.iana.org/assignments/media-types/text/turtle","","","",""
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof.1.1.3","spdx:Package|dcat:Distribution","be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof.1.1.3","","","","","Codelijst chemische_stof, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof.1.1.3","2023-06-26","","","","ovo:OVO003751","","Codelijst chemische_stof in jar-formaat.","","Package codelijst-chemische_stof","1.1.3","","","access_right:PUBLIC","","","","","","","","file_type:JAR","","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-chemische_stof/1.1.3/codelijst-chemische_stof-1.1.3.jar","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-chemische_stof/1.1.3/codelijst-chemische_stof-1.1.3.jar","codelijst-chemische_stof-1.1.3.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-chemische_stof","1.1.3"
